,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
380,R2DB0IVY2G9E12,4,28,35,N,Y
381,R2DYC3CJLY0OI8,1,41,54,N,Y
382,RD32P373894LD,5,275,283,N,Y
383,R2L5778A096HE0,5,18,20,N,Y
384,R1TH38CE9TWOZE,1,36,46,N,Y
385,R14R8SBTID9URS,5,27,27,N,Y
386,R1R0J3JMPAI0J1,5,44,46,N,Y
387,ROV4T8XXX3IAL,5,18,23,N,Y
388,R1T7TVAOPO0WH8,5,64,64,N,Y
389,R1I32UMT9P756K,5,29,33,N,Y
390,R2FI903BOOLS3B,5,54,66,N,N
391,RNDZMI1L2CHE1,5,23,26,N,Y
392,R2ZXXXQFTZ7JPV,5,47,51,N,Y
393,RQQQ40BGBNRN6,5,57,62,N,Y
394,R3PTDD0ZFEA1IP,1,29,33,N,Y
395,R2MB8RIN6IQQ9K,5,19,23,N,N
396,R2D54SXJBPVC84,1,35,45,N,Y
397,R1HQ17Q2FC7JHM,4,33,33,N,N
398,R2AG0KJC792WGM,3,29,33,N,N
399,R2Z3OQW3RLYXOC,1,16,21,N,Y
400,R73M9LHQVPZM8,5,32,36,N,Y
401,R3FS4TVKQN2K7S,1,18,23,N,Y
402,R19GJQR4ILUUYF,5,29,29,N,Y
403,R1J4F2PXZXZJP0,5,58,63,N,N
404,R3OGL8LJB6HUK9,1,24,26,N,Y
405,R2U22BQCBWELVJ,5,195,196,N,Y
406,R3M7I6DQ5OGKOB,5,17,21,N,N
407,RCH9EGD75GVNB,4,19,22,N,N
408,R651QA9OZAV7R,5,23,26,N,N
409,R1YS419WATJPVI,2,21,23,N,Y
410,R1WFYMB7SYV98W,5,27,30,N,N
411,RO9Z5ZAY270AJ,1,13,20,N,Y
412,R2IE45T0ZBLM52,5,48,51,N,N
413,R3IAZUFBNX2T58,5,129,146,N,Y
414,R25CIDOGS5PUE3,5,51,52,N,Y
415,R2AKVZT2DOGHV4,1,20,24,N,Y
416,R39S2U5365NMW1,5,16,21,N,Y
417,R3767XNJ4YFN5E,3,49,63,N,N
418,RA3F1KICPFBK,5,27,36,N,Y
